char,jyutping
厲真嘅,lai6 zan1 ge3
去你到,heoi3 nei5 dou3
去你屋企,heoi3 nei5 uk1 kei2
去做乜,heoi3 zou6 mat1
去咗見周公,heoi3 zo2 gin3 zau1 gung1
去咗賣鹹鴨蛋,heoi3 zo2 maai6 haam4 aap3 daan6
去咗邊度,heoi3 zo2 bin1 dou6
去咗飲,heoi3 zo2 jam2
去唔倒,heoi3 m4 dou2
去唔到了,heoi3 m4 dou3 liu5
去唔去,heoi3 m4 heoi3
去唔去到,heoi3 m4 heoi3 dou2
去啦去啦,heoi3 laa1 heoi3 laa1
去啦嘛,heoi3 laa1 maa3
去就去啦,heoi3 zau6 heoi3 laa1
去就好啦,heoi3 zau6 hou2 laa1
去搵下佢,heoi3 wan2 haa5 keoi5
去死啦,heoi3 sei2 laa1
去死啦你,heoi3 sei2 laa1 nei5
去街市買餸有價講呀,heoi3 gaai1 si4 maai5 sung3 jau5 gaa3 gong2 aa4
去賣鹹鴨蛋,heoi3 maai6 haam4 aap3 daan6
去邊啊,heoi3 bin1 aa2
去都唔去,heoi3 dou1 m4 heoi3
去閻羅王處報到,heoi3 jim4 lo4 wong4 syu3 bou3 dou3
又乜事,jau6 mat1 si6
又乜又物,jau6 mat1 jau6 mat6
又係喔,jau6 hai6 ak1
又係嘅,jau6 hai6 ge3
又係噃,jau6 hai6 bo3
又冇咗,jau6 mou5 zo2
又唔係,jau6 m4 hai6
又唔出聲,jau6 m4 ceot1 seng1
又唔喺,jau6 m4 hai2
又唔掂,jau6 m4 dim6
又唔聽話,jau6 m4 teng1 waa6
又唔陪你,jau6 m4 pui4 nei5
又喺啵,jau6 hai2 bo3
又喺噃,jau6 hai2 bo3
又多咗個,jau6 do1 zo2 go3
又打爛咗,jau6 daa2 laan6 zo2
又會噉嘅,jau6 wui5 gam2 ge3
又窩咗,jau6 wo1 zo2
又給我,jau6 kap1 ngo5
又要做雞，又要攞貞節牌坊,jau6 jiu3 zou6 gai1 jau6 jiu3 lo2 zing1 zit1 paai4 fong1
又要威又要戴頭盔,jau6 jiu3 wai1 jau6 jiu3 daai3 tau4 kwai1
又要馬兒好，又要馬兒不喫草,jau6 jiu3 maa5 ji4 hou2 jau6 jiu3 maa5 ji4 bat1 hek3 cou2
又要馬兒跑，又要馬兒不喫草,jau6 jiu3 maa5 ji4 paau2 jau6 jiu3 maa5 ji4 bat1 hek3 cou2
又話唔係,jau6 waa6 m4 hai6
又話喺度,jau6 waa6 hai2 dou6
又話噉樣,jau6 waa6 gam2 joeng2
又變咗,jau6 bin3 zo2
又走咗,jau6 zau2 zo2
又關你事,jau6 gwaan1 nei5 si6
又關我事,jau6 gwaan1 ngo5 si6
又靚咗,jau6 leng3 zo2
又鯁頸喇,jau6 kang2 geng2 laa3
叉隻腳埋嚟,caa1 zek3 goek3 maai4 lai4
及時處理，事半功倍,kap6 si4 cyu2 lei5 si6 bun3 gung1 pui5
友誼地久天長,jau5 ji4 dei6 gau2 tin1 coeng4
友誼天長地久,jau5 ji4 tin1 coeng4 dei6 gau2
反其道而行之,faan2 kei4 dou6 ji4 hang4 zi1
反正就係,faan2 zing3 zau6 hai6
反轉豬肚就係屎,faan2 zyun3 zyu1 tou5 zau6 hai6 si2
反轉豬肚就是屎,faan2 zyun3 zyu1 tou5 zau6 si6 si2
反面唔認人,faan2 min2 m4 jing6 jan4
取之不盡，用之不竭,ceoi2 zi1 bat1 zeon6 jung6 zi1 bat1 kit3
取其精華，去其糟粕,ceoi2 kei4 zing1 waa4 heoi3 kei4 zou1 pok3
受人二分四,sau6 jan4 ji6 fan1 sei3
受人錢財替人消災,sau6 jan4 cin4 coi4 tai3 jan4 siu1 zoi1
受人錢財，替人消災,sau6 jan4 cin4 coi4 tai3 jan4 siu1 zoi1
受你氣,sau6 nei5 hei3
受傷害啦,sau6 soeng1 hoi6 la1
受唔得,sau6 m4 dak1
受唔起,sau3 m3 hei2
受埋你玩,sau6 maai4 nei5 waan2
受硬唔受軟,sau6 ngaang6 m4 sau6 jyun5
受軟唔受硬,sau6 jyun5 m4 sau6 ngaang6
口唔對心,hau2 m4 deoi3 sam1
口惠而實不至,hau2 wai6 ji4 sat6 bat1 zi3
口服心不服,hau2 fuk6 sam1 bat1 fuk6
口水多過茶,hau2 seoi2 do1 gwo3 caa4
只可意會，不可言傳,zi2 ho2 ji3 wui6 bat1 ho2 jin4 cyun4
只怕有心人,zi2 paa3 jau5 sam1 jan4
只知其一，不知其二,zi2 zi1 kei4 jat1 bat1 zi1 kei4 ji6
只羨鴛鴦不羨仙,zi2 sin6 jin1 joeng1 bat1 sin6 sin1
只要功夫深，鐵杵磨成鍼,zi2 jiu3 gung1 fu1 sam1 tit3 cyu5 mo4 sing4 zam1
只見樹木不見森林,zi2 gin3 syu6 muk6 bat1 gin3 sam1 lam4
只許州官放火，不准百姓點燈,zi2 heoi2 zau1 gun1 fong3 fo2 bat1 zeon2 baak3 sing3 dim2 dang1
只許州官放火，不許百姓點燈,zi2 heoi2 zau1 gun1 fong3 fo2 bat1 heoi2 baak3 sing3 dim2 dang1
叫唔喐,giu3 m4 juk1
叫唔敢,giu3 m4 gam2
叫好不叫座,giu3 hou2 bat1 giu3 zo6
叫聲我,giu3 seng1 ngo5
可一而不可再,ho2 jat1 ji4 bat1 ho2 zoi3
可以㗎,ho2 ji5 gaa3
可以啊,ho2 ji5 aa3
可以喇,ho2 ji5 laa3
可以試啊,ho2 ji5 si3 aa3
可唔可愛,ho2 m4 ho2 oi3
可愛啲,ho2 oi3 di1
可憐天下父母心,ho2 lin4 tin1 haa6 fu6 mou5 sam1
可望而不可及,ho2 mong6 ji4 bat1 ho2 kap6
可遇不可求,ho2 jyu6 bat1 ho2 kau4
可遇而不可求,ho2 jyu6 ji4 bat1 ho2 kau4
司馬昭之心,si1 maa5 ciu1 zi1 sam1
叻唔切,lek1 m4 cit3
叻唔切噉,lek1 m4 cit3 gam2
叻鬼咩,lek1 gwai2 me1
各人自掃門前雪,gok3 jan4 zi6 sou3 mun4 cin4 syut3
各人自掃門前雪，莫管他家瓦上霜,gok3 jan4 zi6 sou3 mun4 cin4 syut3 mok6 gun2 taa1 gaa1 ngaa5 soeng6 soeng1
各有巧妙不同,gok3 jau5 haau2 miu6 bat1 tung4
各花入各眼,gok3 faa1 jap6 gok3 ngaan5
各處鄉村各處例,gok3 cyu5 hoeng1 cyun1 gok3 cyu5 lai6
合你意,gap3 nei5 ji3
合則來，不合則去,hap6 zak1 loi4 bat1 hap6 zak1 heoi3
合唔合格,gap3 m4 hap6 gaak3
合唔埋,hap6 m4 maai4
合埋一齊去,gaap3 maai4 jat1 cai4 heoi3
合埋有幾多,gaap3 maai4 jau5 gei2 do1
吉人自有天相,gat1 jan4 zi6 jau5 tin1 soeng3
吊晒佢癮,diu3 saai3 keoi5 jan5
吊死你,diu3 sei2 nei5
吊頸都要唞下氣,diu3 geng2 dou1 jiu3 tau2 haa5 hei3
吊頸都要抖下氣,diu3 geng2 dou1 jiu3 tau2 haa5 hei3
吊頸都要透氣,diu3 geng2 dou1 jiu3 tau2 hei3
同一個世界，同一個夢想,tung4 jat1 go3 sai3 gaai3 tung4 jat1 go3 mung6 soeng2
同一個鼻哥窿出氣,tung4 jat1 go3 bei6 go1 lung1 ceot1 hei3
同人唔同命同遮唔同柄,tung4 jan4 m4 tung4 meng6 tung4 ze1 m4 tung4 beng3
同人唔同命，同遮唔同柄,tung4 jan4 m4 tung4 meng6 tung4 ze1 m4 tung4 beng3
同你一樣,tung4 nei5 jat1 joeng6
同你一齊,tung4 nei5 jat1 cai4
同你媽,tung4 nei5 maa1
同你死過,tung4 nei5 sei2 gwo3
同你講咯,tung4 nei5 gong2 lok3
同佢分手,tung4 keoi5 fan1 sau2
同佢散咗,tung4 keoi5 saan2 zo2
同工不同酬,tung4 gung1 bat1 tung4 cau4
同年同月同日,tung4 nin4 tung4 jyut6 tung4 jat6
同我唔,tung4 ngo5 m4
同我唔同,tung4 ngo5 m4 tung4
同我媽,tung4 ngo5 maa1
同我扯,tung4 ngo5 ce2
同我熟,tung4 ngo5 suk6
同我講咯,tung4 ngo5 gong2 lok3
同我閘住,tung4 ngo5 zaap6 zyu6
同我鬥,tung4 ngo5 dau3
同是天涯淪落人,tung4 si6 tin1 ngaai4 leon4 lok6 jan4
同生死，共患難,tung4 sang1 sei2 gung6 waan6 naan6
同花兼夾順,tung4 faa1 gim1 gaap3 seon2
同行如敵國,tung4 hong4 jyu4 dik6 gwok3
同行是冤家,tung4 hong4 si6 jyun1 gaa1
名不正言不順,ming4 bat1 zing3 jin4 bat1 seon6
名不見經傳,ming4 bat1 gin3 ging1 cyun4
名師出高徒,ming4 si1 ceot1 gou1 tou4
名牌嘢,ming4 paai4 je5
吔屎啦,jaa1 si2 la1
吔蕉啦,jaa1 ziu1 la1
君主立憲制,gwan1 zyu2 laap6 hin3 zai3
君子一言，駟馬難追,gwan1 zi2 jat1 jin4 si3 maa5 naan4 zeoi1
君子不計小人過,gwan1 zi2 bat1 gai3 siu2 jan4 gwo3
君子之交淡如水,gwan1 zi2 zi1 gaau1 daam6 jyu4 seoi2
君子動口不動手,gwan1 zi2 dung6 hau2 bat1 dung6 sau2
君子坦蕩蕩，小人長戚戚,gwan1 zi2 taan2 dong6 dong6 siu2 jan4 coeng4 cik1 cik1
君子報仇十年未晚,gwan1 zi2 bou3 sau4 sap6 nin4 mei6 maan5
君子報仇，十年不晚,gwan1 zi2 bou3 sau4 sap6 nin4 bat1 maan5
吞咗火藥,tan1 zo2 fo2 joek6
吞唔落,tan1 m4 lok6
吟啲吟啲,jam4 di1 jam4 di1
吟詩吟唔甩,jam4 si1 jam4 m4 lat1
吟詩都吟唔甩,jam4 si1 dou1 jam4 m4 lat1
含撚啦你,ham4 lan2 laa1 nei5
吹佢唔脹,ceoi1 keoi5 m4 zoeng3
吹凍佢,ceoi1 dung3 keoi5
吹到啤一聲,ceoi1 dou3 be1 jat1 seng1
吹唔漲,ceoi1 m4 zoeng3
吹唔脹,ceoi1 m4 zoeng3
吹喇叭,ceoi1 laa3 baa1
吹得天花亂墜,ceoi1 dak1 tin1 faa1 lyun6 zeoi6
吹得我漲，拉得我長,ceoi1 dak1 ngo5 zoeng3 laai1 dak1 ngo5 coeng4
吹水唔抹咀,ceoi1 seoi2 m4 maat3 zeoi2
吹水唔抹嘴,ceoi1 seoi2 m4 maat3 zeoi2
吹水啊,ceoi1 seoi2 aa3
吹水啦,ceoi1 seoi2 la1
吹皺一池春水,ceoi1 zau3 jat1 ci4 ceon1 seoi2
吼住佢,hau3 zyu6 keoi5
吾生也有涯，而知也無涯,ng4 sang1 jaa5 jau5 ngaai4 ji4 zi1 jaa5 mou4 ngaai4
呃唔倒,aak1 m4 dou2
呃錢呃糧票,ngaak1 cin2 ngaak1 loeng4 piu3
呃鬼食豆腐,ngaak1 gwai2 sik6 dau6 fu6
告到你甩褲,gou3 dou3 nei5 lat1 fu3
告到佢甩褲,gou3 dou3 keoi5 lat1 fu3
告到甩褲爲止,gou3 dou3 lat1 fu3 wai4 zi2
呢份嘢,nei1 fan6 je5
呢個嘢,ni1 go3 je5
呢出嘢,ni1 ceot1 je5
呢啲信息,nei1 di1 seon3 sik1
呢啲唔需,nei1 di1 m4 seoi1
呢啲正,nei1 di1 zing1
呢嚿嘢,nei1 gau6 je5
呢套嘢,nei1 tou3 je5
呢度咁背,nei1 dou6 gam3 bui3
呢度嘢平,nei1 dou6 je5 peng4
呢度講呢度散,nei1 dou6 gong2 nei1 dou6 saan3
呢張嘢,nei1 zoeng1 je5
呢排好唔掂,ni1 paai2 hou2 m4 dim6
呢槓嘢,ni1 lung5 je5
呢煲傑嘢,nei1 bou1 git6 je5
呢班嘢,nei1 baan1 je5
呢瓣嘢,nei1 faan6 je5
呢隻嘢,nei1 zek3 je5
周圍唱佢,zau1 wai4 coeng3 keoi5
周街係人,zau1 gaai1 hai6 jan4
周身刀冇張利,zau1 san1 dou1 mou5 zoeng1 lei6
周身刀，冇把利,zau1 san1 dou1 mou5 baa2 lei6
周身唔妥,zau1 san1 m4 to2
周身唔聚財,zau1 san1 m4 zeoi6 coi4
呷死醋佢,haap3 sei2 cou3 keoi5
呻飢莫呻飽,san3 gei1 mok6 san3 baau2
呼之則來揮之則去,fu1 zi1 zak1 loi4 fai1 zi1 zak1 heoi3
呼之即來，揮之即去,fu1 zi1 zik1 loi4 fai1 zi1 zik1 heoi3
呼啦啦,fu1 laa1 laa1
呼啦圈,fu1 laa1 hyun1
命仔都冇埋,meng6 zai2 dou1 mou5 maai4
命水唔好,meng6 seoi2 m4 hou2
咁㷫㗎,gam3 hing3 gaa2
咁上下,gam3 soeng6 haa2
咁乖女,gam3 gwaai1 neoi2
咁人齊,gam3 jan4 cai4
咁似你,gam3 ci5 nei5
咁低能,gam3 dai1 nang4
咁假嘅人,gam3 gaa3 ge3 jan4
咁出奇,gam3 ceot1 kei4
咁勤奮,gam3 kan4 fan5
咁口爽,gam3 hau2 song2
咁口硬,gam3 hau2 ngaang6
咁口響,gam3 hau2 hoeng2
咁可惡,gam3 ho2 wu3
咁吻水,gam3 man5 seoi2
咁咯喔,gam3 lok3 ak1
咁啱吖,gam3 ngaam1 aa1
咁啱啊,gam3 ngaam1 aa2
咁啱嘅嘢,gam3 ngaam1 ge2 je5
咁啱得咁橋,gam3 ngaam1 dak1 gam3 kiu2
咁啱得咁蹺,gam3 ngaam1 dak1 gam3 kiu2
咁啱線,gam3 ngaam1 sin3
咁單純,gam3 daan1 seon4
咁嚴嘅,gam3 jim4 ge3
咁多人呀,gam3 do1 jan4 aa4
咁多人嘅,gam3 do1 jan4 ge3
咁多人死唔見你死,gam3 do1 jan4 sei2 m4 gin3 nei5 sei2
咁多呀,gam3 do1 aa4
咁多嘢做,gam3 do1 je5 zou6
咁多意見,gam3 do1 ji3 gin3
咁多手,gam3 do1 sau2
咁多本,gam3 do1 bun2
咁多科,gam3 do1 fo1
咁多行李,gam3 do1 hang4 lei5
咁大㗎,gam3 daai6 gaa3
咁大嘥㗎,gam3 daai2 saai1 gaa2
咁大把,gam3 daai6 baa2
咁大整蠱,gam3 daai6 zing2 gu2
咁大枝嘢,gam3 daai6 zi1 je5
咁大火,gam3 daai6 fo2
咁大禍,gam3 daai6 wo6
咁大隻蛤乸隨街跳,gam3 daai6 zek3 gaap3 naa2 ceoi4 gaai1 tiu3
咁大雨咩,gam3 daai6 jyu5 me1
咁大風,gam3 daai2 fung1
咁好人,gam3 hou2 jan4
咁好口,gam3 hou2 hau2
咁好唱口,gam3 hou2 coeng3 hau2
咁好機會,gam3 hou2 gei1 wui6
咁好相與,gam3 hou2 soeng1 jyu5
咁少少嘢,gam3 siu2 siu2 je5
咁就差唔多,gam3 zau6 caa1 m4 do1
咁巧呀,gam3 kiu2 aa4
咁幸運,gam3 hang6 wan6
咁得閒㗎,gam3 dak1 haan4 gaa3
咁快就溝,gam3 faai3 zau6 kau1
咁快脆,gam3 faai3 ceoi3
咁快速,gam3 faai3 cuk1
咁悲哀,gam3 bei1 oi1
咁惡啃,gam3 ok3 kang2
咁惡頂,gam3 ok3 ding2
咁慢嘅,gam3 maan6 ge3
咁懶喎,gam3 laan5 wo3
咁扮嘢,gam3 baan6 je5
咁把炮,gam3 baa3 paau3
咁撚死樣,gam3 nan2 sei2 joeng6
咁撚重口,gam3 nan2 cung5 hau2
咁早返,gam3 zou2 faan1
咁易甩身,gam3 ji6 lat1 san1
咁樣樣,gam2 joeng2 joeng2
咁正常,gam3 zing3 soeng4
咁渣嘅,gam3 zaa1 ge3
咁無奈,gam3 mou4 noi6
咁熟都吠,gam3 suk6 dou1 fai6
咁爛個喎,gam3 laan6 go3 waa1
咁狼胎,gam3 long4 toi1
咁盟塞,gam3 mang4 sak1
咁直接,gam3 zik6 zip3
咁睇唔開,gam3 tai2 m4 hoi1
咁睇得起,gam3 tai2 dak1 hei2
咁瞓啦,gam3 fan3 laa1
咁瞭解,gam3 liu5 gaai2
咁神心,gam3 san4 sam1
咁神速,gam3 san4 cuk1
咁老友,gam3 lou5 jau5
咁耐㗎,gam3 noi6 gaa3
咁耐以嚟,gam3 noi6 ji5 lai4
咁耐冇見,gam3 noi6 mou5 gin3
咁耐喇,gam3 noi6 laa3
咁虛僞,gam3 heoi1 ngai6
咁複習,gam3 fuk1 zaap6
咁論盡,gam3 leon6 zeon6
咁講說話,gam3 gong2 syut3 waa6
咁變態,gam3 bin3 taai3
咁貴㗎,gam3 gwai3 gaa3
咁貴都買,gam3 gwai3 dou1 maai5
咁趕住,gam3 gon2 zyu6
咁近城隍廟都唔求支好籤,gam3 kan5 sing4 wong4 miu2 dou1 m4 kau4 zi1 hou2 cim1
咁近城隍廟都唔求返支好籤,gam3 kan5 sing4 wong4 miu2 dou1 m4 kau4 faan1 zi1 hou2 cim1
咁遲先嚟,gam3 ci4 sin1 lai4
咁遲鈍,gam3 ci4 deon6
咁都話,gam3 dou1 waa6
咁重口,gam3 cung5 hau2
咁長氣,gam3 coeng4 hei3
咁閪串,gam3 hai1 cyun3
咁陰質,gam3 jam1 zat1
咁難明,gam3 naan4 ming4
咁零丁,gam3 ling4 ding1
咁高咁大,gam3 gou1 gam3 daai2
咁鬼串,gam3 gwai2 cyun3
咁鬼凍,gam3 gwai2 dung3
咁鬼多人,gam3 gwai2 do1 jan4
咁鬼慢,gam3 gwai2 maan6
咁齊人啊,gam3 cai4 jan4 aa2
咩事啊,me1 si6 aa3
咩原因啊,me1 jyun4 jan1 aa2
咩咩咩,me1 me1 me1
咩唔錯,me1 m4 co3
咩嘢唧,me1 je5 zek1
咩嘢嚟㗎,me1 je5 lai4 gaa3
咩嘢環境,me1 je5 waan4 ging2
咩嘢環境啊,me1 je5 waan4 ging2 aa3
咩嚟㗎,me1 lai4 gaa3
咩嚟先,me1 lai4 sin1
咩嚟嘎,me1 lai4 ga4
咩嚟架,me1 lai4 gaa3
咩圖片,me1 tou4 pin2
咩地方,me1 dei6 fong1
咩姿勢,me1 zi1 sai3
咩專業,me1 zyun1 jip6
咩快遞,me1 faai3 dai6
咩情況,me1 cing4 fong3
咩意思咯,me1 ji3 si1 lok3
咩意思啊,me1 ji3 si1 aa3
咩感覺,me1 gam2 gok3
咩時候,me1 si4 hau6
咩時間,me1 si4 gaan3
咩玩法,me1 waan2 faat3
咩環境,me1 waan4 ging2
咩環境啊,me1 waan4 ging2 aa3
咩程度,me1 cing4 dou6
咩角色,me1 gok3 sik1
咩說話,me1 syut3 waa6
咩遊戲,me1 jau4 hei3
咩都假,me1 dou1 gaa2
咩都唔驚,me1 dou1 m4 geng1
咩電影,me1 din6 jing2
咩靚價,me1 leng3 gaa3
咩風吹你嚟,me1 fung1 ceoi1 nei5 lai4
咪亂咁講,mai1 lyun2 gam3 gong2
咪係咯,mai6 hai6 lok3
咪係嗰個,mai6 hai6 go2 go3
咪傻啦,mai5 so4 laa1
咪又係,mai6 jau6 hai6
咪咁得敕,mai5 gam3 dak1 cik1
咪咁擒青,mai5 gam3 kam4 ceng1
咪咁早,mai1 gam3 zou2
咪咁驚靑,mai1 gam3 ging1 ceng1
咪咁驚青,mai5 gam3 geng1 ceng1
咪嘈啦,mai5 cou4 la1
咪噉講,mai5 gam2 gong2
咪坐喺度,mai5 co5 hai2 dou6
咪嬲啦,mai5 nau1 laa1
咪就係,mai6 zau6 hai6
咪就係咯,mai6 zau6 hai6 lok3
咪就係囉,mai6 zau6 hai6 lo1
咪惹佢喇,mai5 je5 keoi5 laa3
咪扮嘢嘞,mai5 baan6 je5 la3
咪掂我,mai1 dim1 ngo5
咪搞我,mai5 gaau2 ngo5
咪玩啦,mai5 waan2 laa1
咪玩嘢喎,mai5 waan2 je5 wo3
咪理咁多,mai5 lei5 gam3 do1
咪詐戇㗎,mai6 zaa3 ngong6 gaa3
咪話佢,mai5 waa6 keoi5
咪諗咁多,mai5 nam2 gam3 do1
咪講住啦,mai5 gong2 zyu6 la1
咪走啊,mai5 zau2 aa3
咪逼佢,mai5 bik1 keoi5
咪阻住啊,mai1 zo2 zyu6 aa2
咪點我,mai5 dim2 ngo5
咬佢唔入,ngaau5 keoi5 m4 jap6
咬唔入,ngaau5 m4 jap6
咬我食,ngaau5 ngo5 sik6
咬蔗啦去,ngaau5 ze3 laa1 heoi3
咸豐年咁耐,haam4 fung1 nin4 gam3 noi6
哀莫大於心死,oi1 mok6 daai6 jyu1 sam1 sei2
哄個頭埋去,hung3 go3 tau4 maai4 heoi3
哄回我,hung3 wui4 ngo5
哈喇子,haa1 laa1 zi2
哩哩啦啦,li1 li1 laa1 laa1
哩哩啦啦,li4 li4 laa4 laa4
哪壺不開提哪壺,naa5 wu4 bat1 hoi1 tai4 naa5 wu4
哭到冇,huk1 dou3 mou5
哭得死去活來,huk1 dak1 sei2 heoi3 wut6 loi4
哽唔落,kang2 m4 lok6
哽唔過頸,kang2 m4 gwo3 geng2
唏哩嘩啦,hei1 li1 waa1 laa1
唔䎺得過,m4 zai3 dak1 gwo3
唔一定,m4 jat1 ding6
唔一定得,m4 jat1 ding6 dak1
唔三唔四,m4 saam1 m4 sei3
唔上咯,m4 soeng5 lok3
唔上嚟,m4 soeng5 lai4
唔上得大檯,m4 soeng5 dak1 daai6 toi2
唔上網,m4 soeng5 mong5
唔下載,m4 haa6 zoi3
唔中意,m4 zung1 ji3
唔中用,m4 zung1 jung6
唔介意有,m4 gaai3 ji3 jau5
唔似唔使,m4 ci5 m4 sai2
唔似樣,m4 ci5 joeng2
唔使一陣,m4 sai2 jat1 zan6
唔使你理,m4 sai2 nei5 lei5
唔使做啊,m4 sai2 zou6 aa2
唔使咁火滾,m4 sai2 gam3 fo2 gwan2
唔使咁謙噃,m4 sai2 gam3 him1 bo3
唔使唔該,m4 sai2 m4 goi1
唔使問亞貴,m4 sai2 man6 aa3 gwai3
唔使問阿桂,m4 sai2 man6 aa3 gwai3
唔使問阿貴,m4 sai2 man6 aa3 gwai3
唔使啩,m4 sai2 gwaa3
唔使嘞,m4 sai2 la3
唔使噉嘅,m4 sai2 gam2 ge3
唔使嚟,m4 sai2 lei4
唔使客氣,m4 sai2 haak3 hei3
唔使審,m4 sai2 sam2
唔使幾耐,m4 sai2 gei2 noi6
唔使急嘅,m4 sai2 gap1 ge3
唔使恨,m4 sai2 han6
唔使慌,m4 sai2 fong1
唔使憂,m4 sai2 jau1
唔使拘,m4 sai2 keoi1
唔使指意,m4 sai2 zi2 ji3
唔使指擬,m4 sai2 zi2 ji3
唔使擇日,m4 sai2 zaak6 jat2
唔使方,m4 sai2 fong1
唔使旨意,m4 sai2 zi2 ji3
唔使本,m4 sai2 bun2
唔使死,m4 sai2 sei2
唔使理佢,m4 sai2 lei5 keoi5
唔使稱喇,m4 sai2 cing1 laa3
唔使緊,m4 sai2 gan2
唔使計,m4 sai2 gai3
唔使講,m4 sai2 gong2
唔使送,m4 sai2 sung3
唔使送呀,m4 sai2 sung3 aa4
唔使送啊,m4 sai2 sung3 aa3
唔使閉翳,m4 sai2 bai3 ai3
唔使面靑,m4 sai2 min6 ceng1
唔使面青,m4 sai2 min6 ceng1
唔使驚㗎,m4 sai2 ging1 gaa3
唔使驚架,m4 sai2 geng1 gaa3
唔係人咁品,m4 hai6 jan4 gam2 ban2
唔係人噉品,m4 hai6 jan4 gam2 ban2
唔係你估,m4 hai6 nei5 gu2
唔係你諗,m4 hai6 nei5 nam2
唔係你財唔入你袋,m4 hai6 nei5 coi4 m4 jap6 nei5 doi2
唔係佢,m4 hai6 keoi5
唔係假㗎,m4 hai6 gaa2 gaa3
唔係去邊,m4 hai6 heoi3 bin1
唔係吖,m4 hai2 aa1
唔係吖嘛,m4 hai6 aa1 maa3
唔係呀,m4 hai6 aa4
唔係咁明,m4 hai6 gam3 ming4
唔係咓,m4 hai6 aa5
唔係唔係,m4 hai6 m4 hai6
唔係唔會,m4 hai6 m4 wui3
唔係啊,m4 hai6 aa3
唔係啊哇,m4 hai6 aa6 waa5
唔係啊嘛,m4 hai6 aa6 maa5
唔係啊話,m4 hai6 aa6 waa2
唔係啩,m4 hai6 gwaa3
唔係啫,m4 hai6 ze1
唔係喇,m4 hai6 laa3
唔係嗰皮,m4 hai6 go2 pei4
唔係嘅話,m4 hai6 ge3 waa2
唔係嘢少,m4 hai6 je5 siu2
唔係噉㗎,m4 hai6 gam2 gaa2
唔係噉話,m4 hai6 gam2 waa2
唔係噉話,m4 hai6 gam2 waa6
唔係噉話，你過獎喇,m4 hai6 gam2 waa2 nei5 gwo3 zoeng2 laa3
唔係噉講,m4 hai6 gam2 gong2
唔係好合,m4 hai6 hou2 gaap3
唔係好清,m4 hai6 hou2 cing1
唔係好熟,m4 hai6 hou2 suk6
唔係幾,m4 hai6 gei2
唔係幾似,m4 hai6 gei2 ci5
唔係幾快,m4 hai6 gei2 faai3
唔係幾明,m4 hai6 gei2 ming4
唔係我嗰皮,m4 hai6 ngo5 go2 pei4
唔係我手腳,m4 hai6 ngo5 sau2 goek3
唔係我搞,m4 hai6 ngo5 gaau2
唔係掛,m4 hai6 gwaa3
唔係猛龍唔過江,m4 hai6 maang5 lung4 m4 gwo3 gong1
唔係話唔得,m4 hai6 waa6 m4 dak1
唔係講玩,m4 hai6 gong2 waan2
唔係路,m4 hai6 lou6
唔係路喎,m4 hai6 lou6 wo3
唔信啊,m4 seon3 aa2
唔信嘅,m4 seon3 ge3
唔信嘅話,m4 seon3 ge3 waa2
唔信鏡,m4 seon3 geng3
唔做中唔做保唔做媒人三代好,m4 zou6 zung1 m4 zou6 bou2 m4 zou6 mui4 jan4 saam1 doi6 hou2
唔做中，唔做保，唔做媒人三代好,m4 zou6 zung1 m4 zou6 bou2 m4 zou6 mui4 jan4 saam1 doi6 hou2
唔做啊,m4 zou6 aa2
唔傷心就假,m4 soeng1 sam1 zau6 gaa2
唔傷心就唔流淚,m4 soeng1 sam1 zau6 m4 lau4 leoi6
唔傾咯,m4 king1 lok3
唔入流,m4 jap6 lau4
唔公平,m4 gung1 ping4
唔再去,m4 zoi3 heoi3
唔再理,m4 zoi3 lei5
唔出咯,m4 ceot1 lok3
唔出得去,m4 ceot1 dak1 heoi3
唔出窟,m4 ceot1 fat1
唔出聲,m4 ceot1 seng1
唔出聲冇人當你啞,m4 ceot1 seng1 mou5 jan4 dong3 nei5 aa2
唔出聲冇人話你啞,m4 ceot1 seng1 mou5 jan4 waa6 nei5 aa2
唔制得過,m4 zai3 dak1 gwo3
唔加入,m4 gaa1 jap6
唔加油,m4 gaa1 jau2
唔加班,m4 gaa1 baan1
唔包食住,m4 baau1 sik6 zyu6
唔去咯,m4 heoi3 lo3
唔去啦,m4 heoi3 la1
唔去嘞,m4 heoi3 la3
唔及得,m4 kap6 dak1
唔受得,m4 sau6 dak1
唔受水,m4 sau6 seoi2
唔可以,m4 ho2 ji5
唔可愛,m4 ho2 oi3
唔合適,m4 hap6 sik1
唔同㗎,m4 tung4 gaa3
唔同你,m4 tung4 nei5
唔同你玩,m4 tung4 nei5 waan2
唔同你講,m4 tung4 nei5 gong2
唔同你針,m4 tung4 nei5 zam1
唔同意,m4 tung4 ji3
唔同第個,m4 tung4 dai6 go3
唔响度,m4 hoeng2 dou6
唔响處,m4 hoeng2 syu3
唔啦更,m4 laa1 gaang1
唔啱使,m4 ngaam1 sai2
唔啱傾,m4 ngaam1 king1
唔啱合尺,m4 ngaam1 ho4 ce1
唔啱咀形,m4 ngaam1 zeoi2 jing4
唔啱巧,m4 ngaam1 kiu2
唔啱數,m4 ngaam1 sou3
唔啱牙,m4 ngaam1 ngaa2
唔啱蕎,m4 ngaam1 kiu2
唔啱食,m4 ngaam1 sik6
唔啲吖,m4 di1 aa3
唔喐得,m4 juk1 dak1
